Sp-1,Sp-2,time_use,Mean_mya,Median_mya,expert_result_mya,node_name,used
Stellula calliope,Apis mellifera,910,782.7,725.5,910,birds_insects,910
Coleoptera,Orthoptera,378,378,378,--,Insecta,378
Diptera,Hemiptera,355,371.9,371.9,355,diphemip,355
Diptera,Hymenoptera,350,366,366,350,diphymeno,350
Coleoptera,Hymenoptera,350,355,355,350,diphymeno,350
Diptera,Coleoptera,300,355,355,300,colelepo,300
Lepidoptera,Coleoptera,300,355,355,300,colelepo,300
Diptera,Lepidoptera,282,358.9,355,282,diplepo,282
Scarabaeidae,Cleridae,238.4,238.4,238.4,238.4,Coleoptera,238.4
Scarabaeidae,Buprestidae,238.4,238.4,238.4,238.4,Coleoptera,238.4
Buprestidae,Cleridae,236.7,236.7,236.7,236.7,buprestcler,236.7
Bruchidae,Mordellidae,236.2,236.2,236.2,236.2,bruchidmordell,236.2
Mordellidae,Cleridae,222.8,222.8,222.8,222.8,mordellclerid,222.8
Cantharidae,Lampyridae,162.5,162.5,162.5,162.5,canthlamp,162.5
Bruchidae,Cerambycidae,128.4,128.4,128.4,128.4,bruchcerambyc,128.4
Cerambycidae,Chrysomelidae,128.4,128.4,128.4,128.4,bruchcerambyc,128.4
Sesiidae,Noctuidae,170.6,170.6,170.6,--,sessidnoctuid,170.6
Nymphalidae,Pieridae,69,69,69,--,piernymphalid,69
Nymphalidae,Lycaenidae,42.3,42.3,42.3,--,lycaennymphal,42.3
Incurvariidae,Noctuidae,151.2,151.2,151.2,--,Lepidoptera,151.2
Papilionidae,Pieridae,148.7,148.7,148.7,--,pierpapilio,148.7
Megachilidae,Halictidae,100.4,100.4,--,--,Apoidea,100.4
Apidae,Halictidae,100.4,100.4,--,--,Apoidea,100.4
Andrenidae,Halictidae,92.3,92.3,--,--,andrenhalic,92.3
Colletidae,Halictidae,83,83,--,--,collethalict,83
Sphecoidea,Vespoidea,163.5,163.5,--,--,vespidsphecid,163.5
Sphecoidea,Apoidea,127.8,127.8,--,--,beessphecids,127.8
Syrphidae,Tachinidae,84.5,76.7,76.7,84.5,syrphtachin,84.5
Syrphidae,Bombyliidae,166,163,163,166,bombsyrph,166
Conopidae,Calliphoridae,47.9,60.3,60.3,47.9,conopcall,47.9
Tephritidae,Muscidae,47.9,60.3,60.3,47.9,conopcall,47.9
Stratiomyiidae,Bombyliidae,222,216,216,222,stratiobomb,222
Bibionidae,Bombyliidae,274.9,274.9,265.2,--,bibiobomb,274.9
